Name,Project Title,Project Topic (please select up to two),Availability,Preferred co-presenter(s),Best friend(s),Interested in presenting in the SMCS Hub?,Interested in presenting twice?
"Santos, Avery",Project 1,Math,"PD 3, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Park, Ishaan",Yes,No
"Patel, Jordan",Project 2,"Math, Engineering","PD 2, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th",,"Fitz, Tobias, Santos, Avery",No,No
"Nguyen, Riley",Project 3,Math,"PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,,Maybe,No
"Kim, Taylor",Project 4,Physics,"PD 3, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th","Mendoza, Quinn, Lopez, Alex","Reed, Owen",No,No
"Diaz, Casey",Project 5,"Chemistry, Computer Science","PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,,Maybe,No
"Chen, Morgan",Project 6,"Math, Earth Science","PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th","Mehta, Nina, Liu, Parker","Park, Ishaan, Klein, Dina, Rao, Zara",No,No
"Lopez, Alex",Project 7,Physics,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th",,,Maybe,No
"Ochoa, Cameron",Project 8,"Chemistry, Computer Science","PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th",,"Kim, Taylor, Ng, Noel",No,No
"Fisher, Sasha",Project 9,Engineering,"PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Sato, Elena","Cole, Nolan, Foster, Kira",Yes,No
"Gray, Reese",Project 10,Chemistry,"PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th","Diaz, Casey, Raman, Rae",,Yes,No
"Rossi, Kai",Project 11,Chemistry,"PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Iqbal, Dylan, Rivas, Liam, Alden, Ari",Yes,No
"Hale, Noah",Project 12,"Computer Science, Chemistry","PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Fletcher, Priya, Yamaguchi, Harper","Iqbal, Dylan",Yes,No
"Mills, Mia",Project 13,Chemistry,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Ortiz, Maya, Mehta, Nina","Cole, Nolan, Hale, Noah, Rossi, Kai",Maybe,No
"Khan, Lena",Project 14,Social Science,"PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th",,"Fitz, Tobias, Sato, Elena",Yes,No
"Reed, Owen",Project 15,Biology,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Vega, Jules",Yes,No
"Fletcher, Priya",Project 16,Engineering,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th","Wang, Gabe",,Maybe,No
"Iqbal, Dylan",Project 17,"Social Science, Math","PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th",,"Gray, Reese, Ibrahim, Sami, Young, Theo",Maybe,No
"Morales, Iris",Project 18,"Social Science, Biology","PD 2, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Alden, Ari",Maybe,No
"Sato, Elena",Project 19,Biology,"PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Liu, Parker, Wang, Gabe",Yes,No
"Ng, Noel",Project 20,Computer Science,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 6, Tuesday, December 15th",,"Nash, Ivy, Patel, Jordan, Foster, Kira",No,No
"Kaur, Nadia",Project 21,"Biology, Social Science","PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 6, Thursday, December 17th",,,Maybe,No
"Bennett, Felix",Project 22,Physics,"PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Hale, Noah, Ng, Noel, Mason, Clara",Maybe,No
"Gupta, Amara",Project 23,Biology,"PD 2, Thursday, December 17th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 6, Tuesday, December 15th",,"Hale, Noah, Graham, June, Park, Ishaan",Maybe,No
"Vega, Jules",Project 24,Physics,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Diaz, Yara",Yes,No
"Mendoza, Quinn",Project 25,Biology,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th",,"Fisher, Sasha",No,No
"Ortiz, Maya",Project 26,"Earth Science, Chemistry","PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Gray, Reese, Norris, Leah",,No,No
"Fitz, Tobias",Project 27,"Physics, Earth Science","PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Gray, Reese, Mendoza, Quinn","Sullivan, Nora",No,No
"Norris, Leah",Project 28,"Social Science, Math","PD 2, Thursday, December 17th, PD 6, Thursday, December 17th",,,Maybe,No
"Bauer, Mateo",Project 29,Computer Science,"PD 2, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Sullivan, Nora, Price, Brielle",No,No
"Sullivan, Nora",Project 30,"Engineering, Computer Science","PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Mason, Clara, Cole, Nolan",Maybe,No
"Park, Ishaan",Project 31,Physics,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th",,"Lopez, Alex",Yes,No
"Coleman, Sophie",Project 32,"Biology, Math","PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Sato, Elena, Graham, June, Santiago, Isla",No,No
"Rivas, Liam",Project 33,Social Science,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 6, Tuesday, December 15th",,"Rossi, Kai, Young, Theo",Yes,No
"Rao, Zara",Project 34,"Social Science, Physics","PD 2, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 6, Tuesday, December 15th","Fisher, Sasha, Diaz, Yara","Ortiz, Maya, Khan, Lena, Cole, Nolan",Yes,No
"Baker, Evan",Project 35,Earth Science,"PD 2, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th",,"Shaw, Rowan, Iqbal, Dylan",Maybe,No
"Yamaguchi, Harper",Project 36,Physics,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Ng, Noel, Nguyen, Riley, Mason, Clara",No,No
"Mehta, Nina",Project 37,"Social Science, Engineering","PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Liu, Parker, Nash, Ivy",No,No
"Wang, Gabe",Project 38,"Chemistry, Earth Science","PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Thursday, December 17th","White, Maya, Coleman, Sophie","Ng, Noel, Mason, Clara, Nguyen, Riley",No,No
"Nash, Ivy",Project 39,"Engineering, Chemistry","PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th",,"Reed, Owen, Shaw, Rowan",Maybe,No
"Diaz, Yara",Project 40,Social Science,"PD 2, Thursday, December 17th, PD 3, Thursday, December 17th, PD 4, Thursday, December 17th, PD 6, Tuesday, December 15th",,,Maybe,No
"Cole, Nolan",Project 41,Engineering,"PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th",,"Rivas, Liam, Gupta, Amara, Klein, Dina",No,No
"White, Maya",Project 42,"Chemistry, Earth Science","PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Fitz, Tobias",Maybe,No
"Foster, Kira",Project 43,Chemistry,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th",,,No,No
"Liu, Parker",Project 44,Computer Science,"PD 4, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th",,"Mendoza, Quinn, Gupta, Amara, Ross, Lina",Yes,No
"Ibrahim, Sami",Project 45,"Physics, Earth Science","PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th",,"Hale, Noah",No,No
"Shaw, Rowan",Project 46,Earth Science,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th",,,No,No
"Graham, June",Project 47,"Biology, Engineering","PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Vega, Jules","Lopez, Alex",Yes,No
"Rosen, Emery",Project 48,Chemistry,"PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th","Ochoa, Cameron, Sullivan, Nora","Rao, Zara, Raman, Rae, Cole, Nolan",No,No
"Mason, Clara",Project 49,Biology,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Thursday, December 17th","Kaur, Nadia","Lopez, Alex",No,No
"Santiago, Isla",Project 50,Engineering,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Cole, Nolan, Fitz, Tobias",Maybe,No
"Price, Brielle",Project 51,"Chemistry, Computer Science","PD 2, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Alden, Ari",,No,No
"Miller, Noah",Project 52,Physics,"PD 2, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th",,"Hale, Noah, Ochoa, Cameron, Chen, Morgan",Maybe,No
"Young, Theo",Project 53,Engineering,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 5, Tuesday, December 15th",,"Yamaguchi, Harper",No,No
"Alden, Ari",Project 54,Chemistry,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th",,,No,No
"Klein, Dina",Project 55,Chemistry,"PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th","Norris, Leah, Raman, Rae",,Yes,No
"Singh, Soren",Project 56,"Math, Earth Science","PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Lopez, Alex, Kim, Taylor, Fitz, Tobias",Maybe,No
"Ross, Lina",Project 57,Chemistry,"PD 2, Tuesday, December 15th, PD 2, Thursday, December 17th, PD 3, Tuesday, December 15th, PD 3, Thursday, December 17th, PD 4, Tuesday, December 15th, PD 4, Thursday, December 17th, PD 5, Tuesday, December 15th, PD 5, Thursday, December 17th, PD 6, Tuesday, December 15th","Iqbal, Dylan",,No,No
"Raman, Rae",Project 58,Engineering,"PD 2, Tuesday, December 15th, PD 3, Tuesday, December 15th, PD 5, Tuesday, December 15th, PD 6, Tuesday, December 15th, PD 6, Thursday, December 17th",,"Santos, Avery",No,No
